자치구,안심 주소,용도,위도,경도,수량,데이터기준일자
양천구,서울특별시 양천구 신정동 목동동로10길 16 ,방범,37.51809,126.87244,2,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로29가길 19 ,방범,37.5180959,126.849602,4,2021-01-29
양천구,신월동 984-3,방범,37.5182048,126.833901,1,2021-01-29
양천구,서울특별시 양천구 신정동 신목로 31 ,방범,37.518222,126.873558,3,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로43길 19 ,방범,37.51831,126.85275,3,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로 560 ,방범,37.518337,126.838157,5,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 180 ,방범,37.51839,126.84367,3,2021-01-29
양천구,서울특별시 양천구 신정동 신목로 20 세진빌딩,방범,37.51845,126.87596,4,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로77길 7 ,방범,37.518543,126.840278,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로29가길 19 ,방범,37.518618,126.849205,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로39길 17 ,방범,37.5186191,126.850597,2,2021-01-29
양천구,서울특별시 양천구 신월동 지양로 25 용민아파트,방범,37.518722,126.83692,3,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 166 구두수선대15,방범,37.51879,126.84299,3,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 166 구두수선대15,방범,37.51887,126.84216,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동동로10길 12 ,방범,37.51888,126.87113,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로32길 21 ,방범,37.51905,126.8559,1,2021-01-29
양천구,서울특별시 양천구 신정동 신목로2길 17 ,방범,37.519132,126.876196,3,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로72길 5 ,방범,37.519163,126.837173,4,2021-01-29
양천구,신정동 1208-1,방범,37.51929,126.85,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로39길 14 ,방범,37.519299,126.850766,4,2021-01-29
양천구,신정동 313,방범,37.519302,126.864215,3,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로34가길 1 ,방범,37.519374,126.85468,3,2021-01-29
양천구,서울특별시 양천구 신정동 신목로 40 현진빌딩,방범,37.519385,126.873791,4,2021-01-29
양천구,서울특별시 양천구 신월동 신월로22길 15 ,방범,37.519458,126.846702,3,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로 257 ,방범,37.5195,126.852732,1,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 190 ,방범,37.51953309,126.8447853,5,2021-01-29
양천구,서울특별시 양천구 신월동 지양로 30 ,방범,37.5196778,126.8365869,3,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로32길 25 ,방범,37.51968,126.85666,4,2021-01-29
양천구,서울특별시 양천구 신월동 지양로7길 27 건우주택,방범,37.519682,126.831762,3,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로34가길 1 ,방범,37.519714,126.854011,3,2021-01-29
양천구,서울특별시 양천구 신정동 신월로36길 19 ,방범,37.519751,126.858065,4,2021-01-29
양천구,서울특별시 양천구 신월동 신월로22길 15 ,방범,37.5197982,126.8467991,3,2021-01-29
양천구,서울특별시 양천구 신월동 신월로24길 19 신월종합사회복지관,방범,37.51982,126.84772,2,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로73길 8 효찬드리밍7차,방범,37.519882,126.839118,3,2021-01-29
양천구,서울특별시 양천구 신정동 신목로4길 21 ,방범,37.51992,126.87564,5,2021-01-29
양천구,서울특별시 양천구 신정동 신월로36길 19 ,방범,37.51993714,126.8586602,5,2021-01-29
양천구,신정동 1024-22,방범,37.519987,126.860266,5,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로39길 20 ,방범,37.520011,126.85066,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로29나길 5 ,방범,37.520052,126.849956,4,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로73길 7 ,방범,37.52008,126.83964,4,2021-01-29
양천구,서울특별시 양천구 신정동 목동서로 301 ,방범,37.52013,126.86944,3,2021-01-29
양천구,서울특별시 양천구 신정동 신목로14길 19 ,방범,37.5201728,126.8765709,2,2021-01-29
양천구,서울특별시 양천구 신월동 월정로 3 ,방범,37.520183,126.843566,5,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로75길 31 우영파크타운,방범,37.520209,126.842135,4,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 212 ,방범,37.5202788,126.846341,2,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로 538 남양가스주유소,방범,37.52028375,126.8372339,4,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 206 ,방범,37.5203238,126.8458282,3,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로 267 ,방범,37.520338,126.85298,5,2021-01-29
양천구,신정동 137-2,방범,37.5204335,126.8780335,3,2021-01-29
양천구,서울특별시 양천구 신월동 지양로 46 한양메디컬센타,방범,37.5204436,126.835592,3,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로39길 20 ,방범,37.52045,126.85032,3,2021-01-29
양천구,서울특별시 양천구 신월동 지양로7길 17 형제주택,방범,37.520591,126.832526,3,2021-01-29
양천구,서울특별시 양천구 신정동 신목로14길 19 ,방범,37.520598,126.876175,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로 266 ,방범,37.520623,126.853572,3,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로45길 2 ,방범,37.520656,126.851013,3,2021-01-29
양천구,서울특별시 양천구 신정동 신목로12길 13 ,방범,37.520668,126.875021,3,2021-01-29
양천구,서울특별시 양천구 신월동 지양로11길 23 금강주택,방범,37.520717,126.831665,3,2021-01-29
